year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1914,61.41,24.746,34.655,34.617,34.368,26.29,10.616,2.52,17.929,46.829,46.543,5.798
1915,18.265,18.541,28.925,42.083,19.942,8.624,3.92,1.493,1.429,34.092,15.26,31.128
1916,4.962,34.337,34.723,26.253,34.313,43.85,34.797,9.335,2.778,4.706,14.906,9.773
1917,8.738,10.926,4.997,19.96,43.129,43.44,26.861,7.044,7.493,12.133,28.933,34.759
1918,44.273,27.489,37.532,30.347,28.219,24.56,7.762,7.001,1.549,25.614,23.871,24.85
1919,23.315,20.027,10.885,35.623,40.845,28.47,22.081,6.581,1.823,2.126,46.846,49.973
1920,21.531,15.734,14.449,9.208,16.255,30.017,6.355,3.37,49.96,31.181,33.826,25.471
1921,18.12,29.467,13.327,20.669,38.371,45.907,19.823,9.473,25.566,69.079,23.942,35.661
1922,5.744,7.051,4.086,14.517,38.958,40.493,12.008,6.549,18.901,15.193,10.344,39.708
1923,18.401,7.885,7.991,20.237,30.281,20.223,6.398,1.675,3.994,7.7,18.179,38.374
1924,24.327,55.636,6.275,12.448,28.274,14.897,3.476,2.319,17.697,51.432,24.472,30.22
1925,24.312,32.821,11.998,25.878,41.994,19.017,7.933,7.576,1.914,1.919,29.938,50.207
1926,13.402,27.155,16.858,18.727,18.555,7.931,2.072,3.376,3.773,39.69,36.996,31.654
1927,22.923,16.984,13.989,17.197,36.39,33.427,13.038,7.092,14.399,25.964,21.236,11.998
1928,39.088,12.257,26.996,14.988,25.394,12.235,4.605,1.225,6.853,30.018,29.654,17.375
1929,5.15,1.131,13.641,17.296,28.81,30.535,7.161,3.598,2.909,17.991,3.354,27.118
1930,4.277,39.394,14.593,35.65,21.569,16.832,3.205,1.186,6.953,13.934,17.373,14.904
1931,41.744,12.254,24.615,25.144,19.504,21.647,4.191,2.024,17.638,27.043,26.841,26.019
1932,12.149,23.855,22.541,29.687,30.913,32.42,23.058,6.811,4.406,13.189,36.367,16.25
1933,14.136,6.278,16.855,19.104,30.823,40.547,29.706,8.427,25.265,24.746,16.396,33.328
1934,29.623,27.968,19.866,17.689,17.329,4.692,10.279,6.778,5.655,24.732,57.27,21.43
1935,39.026,29.423,17.938,14.511,28.516,27.803,15.426,5.302,11.026,15.092,14.921,30.045
1936,19.572,4.025,11.822,29.048,35.603,24.273,10.808,2.46,8.164,10.755,4.637,25.136
1937,3.048,3.515,20.999,28.183,41.529,45.517,7.438,6.46,6.088,36.086,41.943,33.428
1938,14.211,9.188,22.254,24.525,31.945,20.277,5.551,1.977,2.496,23.84,15.147,26.577
1939,29.724,4.427,13.61,25.207,34.387,21.257,14.125,3.091,5.138,18.465,48.217,52.913
1940,29.238,27.56,28.17,16.723,23.952,6.869,3.395,3.738,3.546,41.904,15.894,34.408
1941,27.009,22.798,19.904,16.105,25.214,10.343,3.162,3.391,16.834,37.833,27.379,29.812
1942,13.753,11.261,10.053,19.37,18.394,22.356,9.563,3.031,2.741,9.847,24.982,23.768
1943,6.723,11.454,14.433,36.38,18.442,16.72,6.813,3.986,3.39,18.077,11.59,18.384
1944,29.321,7.916,12.029,17.86,17.578,9.706,3.124,2.711,7.145,25.059,45.675,15.234
1945,26.742,27.755,13.652,12.258,43.468,17.731,9.194,3.801,7.858,10.506,24.822,26.718
1946,18.916,23.753,17.003,27.485,43.335,36.197,23.048,7.544,5.301,14.491,16.411,31.916
1947,16.707,38.822,16.336,18.413,13.207,8.686,7.668,4.246,5.078,27.867,6.387,36.646
1948,12.802,8.906,9.114,18.283,42.403,32,10.132,9.007,16.834,17.259,20.38,6.765
1949,3.917,10.671,19.928,24.524,35.677,21.134,14.261,9.925,8.361,13.545,51.38,35.225
1950,10.469,22.714,16.425,21.799,30.642,37.97,16.465,12.769,5.999,33.281,19.737,53.811
1951,18.681,22.254,10.182,25.707,28.823,16.903,5.837,4.028,10.884,23.927,27.451,10.062
1952,12.405,22.181,7.921,25.931,36.49,33.49,14.622,6.641,5.697,5.97,16.9,20.895
1953,46.09,17.026,12.665,19.09,32.723,20.603,16.023,5.562,11.127,27.412,41.955,23.24
1954,12.428,32.15,15.881,15.042,31.57,30.79,23.291,7.977,10.874,21.542,67.149,33.355
1955,15.4,12.924,10.666,28.52,39.171,49.503,31.623,12.479,11.062,,,
1956,,,,,,,,,,,,
1957,,,,,,,,,,,,
1958,,42.714,15.353,18.785,32.729,19.143,5.062,2.653,10.988,21.165,19.173,41.842
1959,25.482,7.911,11.984,30.435,25.297,31.38,10.623,,21.374,15.649,22.117,19.044
1960,15.384,16.936,13.936,22.507,25.68,17.978,7.338,7.608,6.551,29.032,16.612,21.266
1961,43.772,46.764,23.98,20.316,35.135,25.688,8.287,6.219,7.402,24.875,25.986,23.774
