date,year,month,day,enso
9/1/2013,2013,9,1,-0.26
10/1/2013,2013,10,1,-0.18
11/1/2013,2013,11,1,-0.17
12/1/2013,2013,12,1,-0.27
1/1/2014,2014,1,1,-0.42
2/1/2014,2014,2,1,-0.46
3/1/2014,2014,3,1,-0.27
4/1/2014,2014,4,1,0.04
5/1/2014,2014,5,1,0.21
6/1/2014,2014,6,1,0.16
7/1/2014,2014,7,1,0.05
8/1/2014,2014,8,1,0.07
9/1/2014,2014,9,1,0.23
10/1/2014,2014,10,1,0.49
11/1/2014,2014,11,1,0.64
12/1/2014,2014,12,1,0.66
1/1/2015,2015,1,1,0.55
2/1/2015,2015,2,1,0.47
3/1/2015,2015,3,1,0.53
4/1/2015,2015,4,1,0.7
5/1/2015,2015,5,1,0.93
6/1/2015,2015,6,1,1.18
7/1/2015,2015,7,1,1.52
8/1/2015,2015,8,1,1.86
9/1/2015,2015,9,1,2.16
10/1/2015,2015,10,1,2.42
11/1/2015,2015,11,1,2.57
12/1/2015,2015,12,1,2.64
1/1/2016,2016,1,1,2.48
2/1/2016,2016,2,1,2.14
3/1/2016,2016,3,1,1.58
4/1/2016,2016,4,1,0.94
5/1/2016,2016,5,1,0.39
6/1/2016,2016,6,1,-0.07
7/1/2016,2016,7,1,-0.36
8/1/2016,2016,8,1,-0.54
9/1/2016,2016,9,1,-0.63
10/1/2016,2016,10,1,-0.69
11/1/2016,2016,11,1,-0.67
12/1/2016,2016,12,1,-0.56
1/1/2017,2017,1,1,-0.34
2/1/2017,2017,2,1,-0.16
3/1/2017,2017,3,1,0.05
4/1/2017,2017,4,1,0.2
5/1/2017,2017,5,1,0.3
6/1/2017,2017,6,1,0.31
7/1/2017,2017,7,1,0.14
8/1/2017,2017,8,1,-0.11
9/1/2017,2017,9,1,-0.38
10/1/2017,2017,10,1,-0.65
11/1/2017,2017,11,1,-0.84
12/1/2017,2017,12,1,-0.97
1/1/2018,2018,1,1,-0.92
2/1/2018,2018,2,1,-0.85
3/1/2018,2018,3,1,-0.7
4/1/2018,2018,4,1,-0.5
5/1/2018,2018,5,1,-0.22
6/1/2018,2018,6,1,-0.01
7/1/2018,2018,7,1,0.09
8/1/2018,2018,8,1,0.23
9/1/2018,2018,9,1,0.49
10/1/2018,2018,10,1,0.76
11/1/2018,2018,11,1,0.9
12/1/2018,2018,12,1,0.81
1/1/2019,2019,1,1,0.75
2/1/2019,2019,2,1,0.72
3/1/2019,2019,3,1,0.71
4/1/2019,2019,4,1,0.66
5/1/2019,2019,5,1,0.54
6/1/2019,2019,6,1,0.45
7/1/2019,2019,7,1,0.28
8/1/2019,2019,8,1,0.14
9/1/2019,2019,9,1,0.19
10/1/2019,2019,10,1,0.35
11/1/2019,2019,11,1,0.51
12/1/2019,2019,12,1,0.55
1/1/2020,2020,1,1,0.5
2/1/2020,2020,2,1,0.48
3/1/2020,2020,3,1,0.4
4/1/2020,2020,4,1,0.19
5/1/2020,2020,5,1,-0.08
6/1/2020,2020,6,1,-0.3
7/1/2020,2020,7,1,-0.41
8/1/2020,2020,8,1,-0.57
9/1/2020,2020,9,1,-0.89
10/1/2020,2020,10,1,-1.17
11/1/2020,2020,11,1,-1.27
12/1/2020,2020,12,1,-1.19
1/1/2021,2021,1,1,-1.05
2/1/2021,2021,2,1,-0.93
3/1/2021,2021,3,1,-0.84
4/1/2021,2021,4,1,-0.66
5/1/2021,2021,5,1,-0.48
6/1/2021,2021,6,1,-0.38
7/1/2021,2021,7,1,-0.4
8/1/2021,2021,8,1,-0.49
9/1/2021,2021,9,1,-0.67
10/1/2021,2021,10,1,-0.81
11/1/2021,2021,11,1,-0.98
12/1/2021,2021,12,1,-0.99
1/1/2022,2022,1,1,-0.97
2/1/2022,2022,2,1,-0.94
3/1/2022,2022,3,1,-1
4/1/2022,2022,4,1,-1.07
5/1/2022,2022,5,1,-1
6/1/2022,2022,6,1,-0.86
7/1/2022,2022,7,1,-0.82
8/1/2022,2022,8,1,-0.91
9/1/2022,2022,9,1,-1.01
10/1/2022,2022,10,1,-0.99
11/1/2022,2022,11,1,-0.92
12/1/2022,2022,12,1,-0.83
1/1/2023,2023,1,1,-0.68
2/1/2023,2023,2,1,-0.43
3/1/2023,2023,3,1,-0.15
4/1/2023,2023,4,1,0.16
5/1/2023,2023,5,1,0.48
6/1/2023,2023,6,1,0.77
7/1/2023,2023,7,1,1.07
8/1/2023,2023,8,1,1.32
9/1/2023,2023,9,1,1.56
10/1/2023,2023,10,1,1.78
11/1/2023,2023,11,1,1.92
12/1/2023,2023,12,1,1.95
1/1/2024,2024,1,1,1.79
2/1/2024,2024,2,1,1.49
3/1/2024,2024,3,1,1.14
4/1/2024,2024,4,1,0.71
5/1/2024,2024,5,1,0.39
6/1/2024,2024,6,1,0.15
7/1/2024,2024,7,1,0.03
8/1/2024,2024,8,1,-0.11
9/1/2024,2024,9,1,-0.21
10/1/2024,2024,10,1,-0.26
11/1/2024,2024,11,1,-0.36
12/1/2024,2024,12,1,-0.5
